insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (1, 'n/a', 2020, 'Shoshanna Millyard', 'Waxwing', 'Celso Ramos', 'Tsaghkunk’');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (27, 'Health Care', 2022, 'Seamus Schwieso', 'Vera', 'Rijeka', 'Talata Mafara');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (28, 'Health Care', 2022, 'Sheff Aslam', 'Shasta', 'Changfu', 'Hearst');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (29, 'Finance', 2021, 'Town Smouten', 'Talmadge', 'Yuejin', 'Datong');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (30, 'Consumer Services', 2021, 'Suki Caseborne', 'Macpherson', 'Akankpa', 'Samannūd');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (31, 'Capital Goods', 2020, 'Rennie Waylen', 'Everett', 'Borisova Griva', 'Deba Habe');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (32, 'Consumer Services', 2022, 'Rafaellle Soppit', 'Cambridge', 'Buawan', 'Pohonsirih');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (33, 'n/a', 2022, 'Vilhelmina Van Ross', 'Blaine', 'Wansheng', 'Kalandagan');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (34, 'Consumer Services', 2022, 'Alameda Crosse', 'Sheridan', 'Moravský Beroun', 'Shimoda');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (35, 'Public Utilities', 2023, 'Mohandis Islep', 'Brown', 'Zhourui', 'Ramanavichy');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (36, 'Consumer Services', 2022, 'Ann-marie Heskey', 'Springs', 'Pointe-à-Pitre', 'Baki');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (37, 'Consumer Non-Durables', 2022, 'Hinda Sone', 'Prairieview', 'Suwaluh', 'Adh Dhayd');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (38, 'Technology', 2021, 'Alvinia Kelleher', 'Prentice', 'Penanggapan', 'Babantar');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (39, 'Transportation', 2023, 'Kaia Constant', 'Colorado', 'Mafra', 'Sibinal');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (40, 'n/a', 2023, 'Shandie Friary', 'Bonner', 'Kindu', 'Lianghu');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (41, 'Consumer Services', 2022, 'Nadine Thacke', 'Dennis', 'Zhushan', 'Fais');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (42, 'Consumer Non-Durables', 2022, 'Jennine Reddie', 'Springview', 'El Arenal', 'Apeldoorn');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (43, 'Consumer Services', 2022, 'Merrielle Nisby', 'Mifflin', 'Ma''an', 'Mahalapye');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (44, 'Health Care', 2021, 'Gweneth MacAlinden', 'Talisman', 'San Guillermo', 'Brak');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (45, 'Finance', 2021, 'Grethel Guess', 'Parkside', 'Ostrowsko', 'Zlonice');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (46, 'n/a', 2021, 'Thomas Grece', 'Riverside', 'Starobachaty', 'Lumbayan');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (47, 'Energy', 2021, 'Rubi Dilks', 'Carberry', 'Kibiya', 'Corujeira');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (48, 'Technology', 2020, 'Allyn Otson', 'Eastwood', 'Siekierczyn', 'Tungoo');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (49, 'Energy', 2023, 'Erica Kluge', 'Vernon', 'Sukoanyar', 'Gostilitsy');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (50, 'n/a', 2022, 'Lew Fury', 'Heffernan', 'Bourg-en-Bresse', 'Lahad Datu');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (51, 'Basic Industries', 2020, 'Nedi Othick', 'Washington', 'Karang Daye', 'Alasmalang');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (52, 'Public Utilities', 2022, 'Benoite Dannel', 'Meadow Valley', 'Washington', 'Apače');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (53, 'Energy', 2022, 'Bonni Dinning', 'Thierer', 'Klampis', 'Montélimar');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (54, 'Consumer Services', 2023, 'Carver Halsey', 'Warrior', 'Trzciana', 'Paris La Défense');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (55, 'Consumer Durables', 2021, 'Winnie Costall', 'Forest Dale', 'Kiruna', 'Laascaanood');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (56, 'Basic Industries', 2020, 'Balduin Arnowitz', 'Towne', 'Avignon', 'San Francisco de Yare');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (57, 'Energy', 2023, 'King Prescot', 'Farragut', 'Severnyy', 'Altay sumu');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (58, 'Consumer Services', 2021, 'Raymond Ladlow', 'Graceland', 'Yinzhu', 'Borisova Griva');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (59, 'Capital Goods', 2022, 'Birgit Yaneev', 'Morning', 'Labuan', 'Maymana');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (60, 'Finance', 2022, 'Orv Chritchley', 'Loomis', 'Springfield', 'Néos Skopós');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (61, 'Consumer Services', 2020, 'Royal Collet', 'Comanche', 'Sumberejo', 'Chabany');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (62, 'Transportation', 2020, 'Moselle Haker', 'Texas', 'Mbomba', 'Nakama');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (63, 'Technology', 2020, 'Aldridge Wigley', 'Loeprich', 'Taiyang', 'Elaiochóri');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (64, 'n/a', 2020, 'Gardy Simonich', 'Village', 'Vale da Pedra', 'Mardzad');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (65, 'Consumer Services', 2023, 'Martino Curley', 'Texas', 'Lianshan', 'Junaynat Raslān');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (66, 'Capital Goods', 2021, 'Shanon Vamplers', 'Buhler', 'Skýros', 'Llama');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (67, 'Consumer Services', 2023, 'Brendis Gebby', 'Hoepker', 'Cabuyao', 'Puconci');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (68, 'Consumer Services', 2022, 'Ara Ingram', 'Kings', 'Kamubheka', 'São Miguel do Iguaçu');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (69, 'n/a', 2022, 'Jefferey O'' Lone', 'Tomscot', 'Palmares', 'Lama');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (70, 'Health Care', 2021, 'Gauthier Tomovic', 'Spohn', 'Veliko Tŭrnovo', 'Camasca');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (71, 'n/a', 2023, 'Nanice Ofield', 'Everett', 'Dadukou', 'Zhangjia');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (72, 'Health Care', 2020, 'Terri Spendley', 'Hazelcrest', 'Pandan', 'Binagadi');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (73, 'Capital Goods', 2022, 'Adan Gothrup', 'Portage', 'Shiqiaotou', 'Aimin');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (74, 'n/a', 2021, 'Dotty Iacomelli', 'Novick', 'Guandi', 'Baranoa');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (75, 'Capital Goods', 2022, 'Opalina Morrison', 'Old Shore', 'Merik', 'Xiadian');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (76, 'Consumer Durables', 2022, 'Abbe Kitter', 'Jenna', 'Chitral', 'Stockholm');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (77, 'Health Care', 2023, 'Blair Faudrie', 'Maple Wood', 'Krajan Dua Sumbersari', 'Mosetse');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (78, 'Health Care', 2022, 'Marcus Rotham', 'Florence', 'Chengmagang', 'Binonga');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (79, 'Health Care', 2022, 'Cyrillus Gonnet', 'Hovde', 'Long Xuyên', 'Didian');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (80, 'Consumer Services', 2023, 'Hube Pleasaunce', 'Corry', 'Cagayan', 'Songhu');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (81, 'Transportation', 2021, 'Rois Menlow', 'Kinsman', 'Châu Thành', 'Fastiv');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (82, 'Health Care', 2022, 'Sol Jaycox', 'Merchant', 'Xiayunling', 'Ntaur Satu');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (83, 'Finance', 2021, 'Evan Plume', 'Merchant', 'Tembayangan Barat', 'Chalon-sur-Saône');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (84, 'Technology', 2021, 'Ruby Conyard', 'Stang', 'Nefta', 'Pushkino');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (85, 'Technology', 2023, 'Germain Foux', 'Scoville', 'Temyasovo', 'Liverpool');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (86, 'Consumer Services', 2020, 'Matias Eddis', 'Stuart', 'Losari', 'Široki Brijeg');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (87, 'n/a', 2021, 'Annemarie Riggulsford', 'Green', 'Jinglou', 'Bol’shoy Kamen’');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (88, 'Miscellaneous', 2022, 'Adelbert Boyat', 'Emmet', 'Matsue-shi', 'Luwingu');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (89, 'Consumer Services', 2021, 'Marge Kilmurray', 'Talisman', 'Skanör', 'Guazapa');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (90, 'Consumer Non-Durables', 2020, 'Dale Matussov', 'Corry', 'Rennes', 'Shilin');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (91, 'Consumer Services', 2021, 'Carrissa Myers', 'Johnson', 'Chatou', 'Maykopskoye');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (92, 'Finance', 2020, 'Maryanna Bilbrook', 'Sutherland', 'Montor Timur', 'Dolati');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (93, 'Finance', 2020, 'Darcy Quinnet', 'Springs', 'Blaye', 'Żarnów');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (94, 'n/a', 2022, 'Derrick Starsmeare', 'Carioca', 'Batallas', 'Krebetkrajan');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (95, 'Consumer Durables', 2023, 'Maddy Rupert', 'Tennyson', 'Qulai', 'Nazca');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (96, 'Health Care', 2020, 'Marcelle Souza', 'Pankratz', 'La Escondida', 'Mâcon');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (97, 'n/a', 2021, 'Inness Acuna', 'Jana', 'Guan’e', 'Grand-Bassam');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (98, 'Finance', 2020, 'Hurleigh Gullane', 'Starling', 'Scranton', 'Klisura');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (99, 'Health Care', 2023, 'Jacinthe Hynard', 'Fieldstone', 'Karlivka', 'Rū-ye Sang');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (100, 'Health Care', 2020, 'Moses Mundow', 'Moulton', 'São Silvestre', 'Kamimaruko');
